timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2022-09-16 17:54:23.589887,0,cb0539fa-3983-4ee4-8628-adff07de0aca,45.227.254.28,18074,54.164.53.59,5900,vnc,0
2022-09-16 17:57:47.702561,0,fb24562a-679a-412a-9451-2a891836bf06,45.227.254.28,32958,54.164.53.59,5900,vnc,0
2022-09-16 18:20:56.289883,0,81793fa3-a4c4-402a-860b-9e01ba619714,45.227.254.28,11665,54.164.53.59,5900,vnc,0
2022-09-16 18:22:33.861533,0,ede479ad-cb3e-40ab-828b-2cb63c4017ff,45.227.254.28,32377,54.164.53.59,5900,vnc,0
2022-09-16 18:24:15.123297,0,7139dd80-a42d-4cd0-ae22-8c4d2b821033,45.227.254.28,52688,54.164.53.59,5900,vnc,0
2022-09-16 18:25:53.727772,0,21861f58-cb30-4a2c-b7d5-647ae2b79aba,45.227.254.28,10145,54.164.53.59,5900,vnc,0
2022-09-16 18:27:35.429427,0,37f0a637-b7e1-462f-a716-6b88a3c8ac40,45.227.254.28,28370,54.164.53.59,5900,vnc,0
2022-09-16 18:27:38.391851,0,54b15218-e936-4b6e-8681-5d61641d6611,34.76.158.233,53540,54.164.53.59,5432,postgresql,0
2022-09-16 18:29:17.659120,0,d77e45ae-34aa-4cb9-96f4-bfd2e4b0b402,45.227.254.28,44715,54.164.53.59,5900,vnc,0
2022-09-16 18:30:56.637701,0,2d6655ec-4622-411f-9b5f-83e916c982bf,45.227.254.28,5427,54.164.53.59,5900,vnc,0
2022-09-16 18:32:36.009139,0,b5faec82-13d8-44b6-8d73-16f4c91b8343,45.227.254.28,14575,54.164.53.59,5900,vnc,0
2022-09-16 18:34:17.868505,0,b5f63d24-f2c5-4609-bada-1f637f09ffd3,45.227.254.28,33532,54.164.53.59,5900,vnc,0
2022-09-16 18:35:56.162340,0,4e691777-0521-4f44-a765-5247e92f16a5,45.227.254.28,47728,54.164.53.59,5900,vnc,0
2022-09-16 18:37:33.934545,0,a773660f-f039-4d87-bcc8-4ff5eaf9e2a6,45.227.254.28,59230,54.164.53.59,5900,vnc,0
2022-09-16 18:39:12.198157,0,30b1a637-e9a1-4ad3-8883-75b7726b2d4e,45.227.254.28,12566,54.164.53.59,5900,vnc,0
2022-09-16 18:39:24.539173,0,6e6a1d1e-de7f-4f20-b353-2931c6beba49,154.89.5.107,38448,54.164.53.59,110,pop3,0
2022-09-16 18:40:50.498201,0,2592e307-84ee-407b-94ae-7076b0888117,45.227.254.28,33917,54.164.53.59,5900,vnc,0
2022-09-16 18:42:30.394640,0,74bc14dd-53fd-4672-8fc4-a55674af3bc6,45.227.254.28,51118,54.164.53.59,5900,vnc,0
2022-09-16 18:44:08.631389,0,c3af627f-cb9d-4794-86d8-547f29447059,45.227.254.28,19190,54.164.53.59,5900,vnc,0
2022-09-16 18:45:49.384569,0,dae3d402-87ae-4387-ad3c-f912eed735b0,45.227.254.28,42995,54.164.53.59,5900,vnc,0
2022-09-16 18:47:28.024348,0,f793d5c0-5915-448e-914e-ef5a7e67740c,45.227.254.28,9917,54.164.53.59,5900,vnc,0
2022-09-16 18:49:06.494957,0,cb2a5930-405a-4d23-a50e-6f1dfad4d42c,45.227.254.28,37722,54.164.53.59,5900,vnc,0
2022-09-16 18:50:45.882278,0,0f2ed9be-9f10-4162-8465-b34c410c6577,45.227.254.28,1172,54.164.53.59,5900,vnc,0
